factor,recording,value,classification,score
loudness,1,-10.73915147,good,86.86645955431065
loudness,2,-10.51480647,good,80.48533712989429
loudness,3,-11.39056717,good,98.30458278431048
loudness,4,-10.7515745,good,87.21981209308888
loudness,5,-11.16036634,good,98.84721977831664
loudness,6,-11.01053254,good,94.58544518509854
loudness,7,-10.71920408,good,86.2990890417627
loudness,8,-13.8203632,good_but_needs_improvement,75.41249533549383
loudness,9,-12.42132579,good,89.09095383635231
loudness,10,-10.51450671,good,80.47681095254268
loudness,11,-12.97146797,good,84.17340493907427
loudness,12,-11.64966673,good,95.98857284745522
loudness,13,-12.2559874,good,90.56886199715217
loudness,14,-11.1888791,good,99.65821807209632
loudness,15,-10.48402756,good_but_needs_improvement,77.33050538809627
loudness,16,-12.31251149,good,90.063610833809
loudness,17,-11.09226565,good,96.91020830011466
loudness,18,-12.15856127,good,91.43972370447948
loudness,19,-11.21291157,good,99.89259063325468
loudness,20,-10.34360594,good_but_needs_improvement,50.0
loudness,21,-11.77630942,good,94.85655344738336
loudness,22,-11.04554149,good,95.5812168577468
loudness,23,-15.93646911,good_but_needs_improvement,50.0
loudness,24,-10.92954177,good,92.28179670343972
loudness,25,-11.30917974,good,99.0320795682306
loudness,26,-11.36682997,good,98.51676219161293
loudness,27,-12.41934851,good,89.10862812390394
loudness,28,-11.11277552,good,97.49357762583558
loudness,29,-11.15000179,good,98.55241729810096
loudness,30,-11.72578518,good,95.30817382795081
bass,1,61.7313336,good,91.87941081213606
bass,2,78.46989704,good,88.82636163222725
bass,3,68.1593857,good,97.69502150199745
bass,4,78.2983769,good,89.07324485222924
bass,5,80.99761548,good,85.18800599815667
bass,6,77.258309,good,90.57030118726193
bass,7,62.76302894,good,92.81280997484419
bass,8,56.40136985,good,87.0572666106176
bass,9,46.23092787,good_but_needs_improvement,58.81284109647653
bass,10,82.56464794,good,82.93244569152199
bass,11,80.00087395,good,86.622699081057
bass,12,78.83965576,good,88.294137116684
bass,13,55.99797351,good,86.6923044057912
bass,14,84.47538109,good,80.18216836177794
bass,15,58.94850813,good,89.36172282523401
bass,16,70.77616322,good,99.9005933773723
bass,17,67.01167792,good,96.65666314236232
bass,18,74.19142256,good,94.98472622030822
bass,19,84.7054902,good_but_needs_improvement,79.35606072986505
bass,20,80.02195191,good,86.59235981806506
bass,21,45.24513191,good_but_needs_improvement,50.0
bass,22,56.42228109,good,87.07618550377377
bass,23,64.97820762,good,94.8169344920305
bass,24,67.16553794,good,96.79586393960761
bass,25,51.49753963,good,82.62065548721098
bass,26,76.09208483,good,92.2489447467514
bass,27,70.63803931,good,99.93751801673157
bass,28,67.42367046,good,97.02940253253732
bass,29,89.42611184,good_but_needs_improvement,50.0
bass,30,78.12104384,good,89.32849509202967
treble,1,0.095066149,good,93.06957102165472
treble,2,0.063952324,good,87.36204067836199
treble,3,0.651969956,good,86.17558748670085
treble,4,0.324788934,good,94.88851470129912
treble,5,0.050898112,good,84.96737171375298
treble,6,0.228154744,good,97.46191171181295
treble,7,0.072339294,good,88.90054922764148
treble,8,1.073607823,good_but_needs_improvement,77.06182294382764
treble,9,0.334687077,good,94.62492423082652
treble,10,0.050982444,good,84.9828416037106
treble,11,0.380648604,good,93.40095519688056
treble,12,0.066961871,good,87.91411297490752
treble,13,0.178142972,good,98.7937399659257
treble,14,0.236377102,good,97.2429478906584
treble,15,0.141017797,good,99.78239433721812
treble,16,0.077942124,good,89.9283342149682
treble,17,0.030376728,good,81.20292224904198
treble,18,0.209283532,good,97.96445765901417
treble,19,0.170758997,good,98.9903774002614
